districtid,timeid,neighborhoodzscore,statezscore
164,6,-0.54,-0.45
164,7,-0.71,-0.66
165,1,0,0
165,2,-0.58,-0.19
165,3,-0.53,-0.24
165,4,-0.57,-0.19
165,5,-0.43,0.3
165,6,-0.59,-0.11
165,7,-0.65,-0.31
166,1,0,0
166,2,-0.41,-0.19
166,3,-0.45,-0.83
166,4,-0.8,-0.89
166,5,-0.34,-0.08
166,6,-0.39,-0.11
166,7,-0.15,-0.31
167,1,0,0
167,2,-0.67,-0.35
167,3,2.46,0.89
167,4,1.35,-0.05
167,5,-0.06,-0.27
167,6,0.14,-0.17
167,7,-0.04,-0.31
168,1,0,0
168,2,0.56,-0.46
168,3,1.45,-0.19
168,4,-0.2,-0.56
168,5,1.18,-0.39
168,6,5.44,0.2
168,7,2.37,0.29
169,1,0,0
169,2,-0.47,-0.25
169,3,-0.49,-0.28
169,4,-0.51,-0.37
169,5,-0.72,-0.42
169,6,-0.52,-0.41
169,7,-0.81,-0.54
170,1,0,0
170,2,-0.54,-0.28
170,3,1.78,2.82
170,4,-0.28,0.42
170,5,-0.29,0.14
170,6,0.0,0.72
170,7,-0.19,0.05
171,1,-0.32,0
171,2,-0.29,3.03
171,3,-0.32,0.06
171,4,-0.33,-0.24
171,5,-0.27,-0.08
171,6,-0.06,0.13
171,7,-0.13,0.14
172,1,0,0
172,2,-0.49,-0.48
172,3,-0.72,-0.92
172,4,-0.4,-0.37
172,5,-0.36,-0.17
172,6,-0.4,-0.36
172,7,-0.39,-0.29
173,1,0,0
173,2,0,2.33
173,3,15.09,1.51
173,4,150.29,4.89
173,5,67.69,5.24
173,6,100.85,5.13
173,7,65.49,5.13
174,1,0,0
174,2,-1.0,-0.23
174,3,-0.53,-0.26
174,4,-0.52,-0.31
174,5,-0.47,-0.29
174,6,-0.32,-0.16
174,7,-0.16,-0.12
175,1,0,0
175,2,-0.58,-0.35
175,3,-1.05,-0.48
175,4,-1.04,-0.42
175,5,-1.52,-0.35
175,6,-1.11,-0.56
175,7,-0.92,-0.59
176,1,0,0
176,2,-0.5,0.45
176,3,-0.28,0.42
176,4,-1.26,-0.24
176,5,-0.81,-0.28
176,6,0.1,-0.15
176,7,1.33,-0.01
177,1,0,0
177,2,-0.4,-0.57
177,3,1.58,1.53
177,4,2.34,1.8
177,5,5.25,0.78
177,6,1.35,0.37
177,7,1.95,0.68
178,1,0,0
178,2,-0.38,-0.24
178,3,-0.44,-0.28
178,4,-0.43,-0.37
178,5,-0.47,-0.45
178,6,-0.46,-0.6
178,7,-0.46,-0.58
179,1,0,0
179,2,-0.41,-0.36
179,3,0.31,-0.18
179,4,5.44,2.97
179,5,0.09,0.22
179,6,-0.01,-0.05
179,7,-0.72,-0.45
180,1,0,0
180,2,-1.05,-0.21
180,3,-0.87,-0.23
180,4,-0.66,-0.18
180,5,-0.56,-0.13
180,6,-0.65,-0.24
180,7,-0.64,-0.27
181,1,0,0
181,2,-0.57,-0.18
181,3,-0.57,-0.19
181,4,-0.56,-0.21
181,5,-0.31,0.14
181,6,-0.23,0.24
181,7,-0.19,0.19
182,1,0,0
182,2,-0.55,-0.26
182,3,-0.19,-0.31
182,4,0.14,-0.44
182,5,-0.01,-0.37
182,6,1.07,0.22
182,7,-0.48,-0.36
183,1,0,0
183,2,-0.41,-0.23
183,3,-0.36,-0.16
183,4,-0.4,0.22
183,5,-0.87,-0.16
183,6,-1.29,-0.44
183,7,-1.01,-0.48
184,1,0,0
184,2,0,-0.37
184,3,-0.47,-0.32
184,4,0.99,-0.17
184,5,-0.16,-0.46
184,6,-0.16,-0.78
184,7,0.09,-0.72
185,1,0,0
185,2,-0.07,0.75
185,3,-0.47,-0.35
185,4,-0.11,-0.16
185,5,-0.35,0.21
185,6,-0.41,-0.15
185,7,-0.5,-0.55
186,1,0,0
186,2,7.26,1.85
186,3,204.75,2.76
186,4,40.33,4.91
186,5,41.27,5.0
186,6,25.97,3.49
186,7,21.99,3.2
187,1,-0.45,0
187,2,-0.46,-0.48
187,3,-0.42,0.69
187,4,-0.45,0.05
187,5,-0.46,-0.22
187,6,-0.58,-0.38
187,7,-0.64,-0.45
188,1,-0.45,0
188,2,-0.45,-0.19
188,3,-0.46,-0.94
188,4,-0.45,-0.94
188,5,-0.45,-0.33
188,6,-0.45,-0.25
188,7,-0.45,-0.39
189,1,0,0
189,2,-0.18,-0.12
189,3,-0.46,-0.13
189,4,-0.3,-0.08
189,5,-0.87,-0.4
189,6,-0.82,-0.35
189,7,-1.06,-0.19
190,1,0,0
190,2,-0.43,-0.4
190,3,-0.46,-0.46
190,4,-0.16,-0.14
190,5,0.46,0.98
190,6,0.6,0.88
190,7,0.2,0.17
191,1,0,0
191,2,0,-0.19
191,3,0.72,1.79
191,4,0.09,0.56
191,5,5.52,0.47
191,6,4.44,0.2
191,7,4.22,0.46
192,1,0,0
192,2,-0.45,0
192,3,-0.68,-0.18
192,4,-0.94,-0.47
192,5,-0.78,-0.6
192,6,-0.78,-0.26
192,7,-0.39,0.07
193,1,0,0
193,2,-0.4,0
193,3,2.08,-0.2
193,4,2.78,-0.41
193,5,-0.34,-0.5
193,6,0.04,-0.52
193,7,0.04,-0.56
194,1,0,0
194,2,0,-0.22
194,3,-0.84,-0.37
194,4,-3.57,-0.69
194,5,-0.89,-0.34
194,6,-0.4,-0.01
194,7,2.57,0.53
195,1,0,0
195,2,-0.44,-0.17
195,3,-0.45,-0.21
195,4,-0.47,-0.28
195,5,-0.79,-0.44
195,6,-0.99,-0.5
195,7,-1.05,-0.51
196,1,0,0
196,2,0,-0.36
196,3,-0.14,-0.33
196,4,-1.4,-0.79
196,5,-1.15,-0.44
196,6,-1.1,-0.76
196,7,-0.89,-0.56
197,1,0,0
197,2,-0.44,-0.19
197,3,-0.96,-0.69
197,4,-0.98,-0.4
197,5,-1.02,-0.52
197,6,-0.75,-0.33
197,7,-0.73,-0.28
198,1,0,0
198,2,-0.17,0.16
198,3,-0.52,-0.02
198,4,-0.82,0.25
198,5,-0.28,0.26
198,6,-0.04,0.32
198,7,0.27,0.14
199,1,0,0
199,2,0.21,0.65
199,3,-0.61,-0.09
199,4,-0.16,1.03
199,5,-0.35,-0.08
199,6,-0.53,-0.39
199,7,-0.46,-0.3
200,1,0,0
200,2,-0.78,-0.25
200,3,-0.96,-0.28
200,4,-0.5,-0.36
200,5,-0.29,-0.4
200,6,-0.29,-0.52
200,7,-0.21,-0.53
201,1,0,0
201,2,-1.04,-0.4
201,3,-1.09,-0.71
201,4,-1.17,-0.71
201,5,-0.5,-0.65
201,6,-0.62,-0.57
201,7,-0.26,-0.2
202,1,0,0
202,2,-1.15,-0.21
202,3,0.47,0.67
202,4,-0.53,-0.05
202,5,-0.69,-0.43
202,6,-0.67,-0.52
202,7,-0.7,-0.55
203,1,0,0
203,2,0.51,1.63
203,3,-0.13,-0.04
203,4,-0.57,-0.64
203,5,-0.63,-0.23
203,6,0.17,-0.18
203,7,-0.82,-0.61
204,1,0,0
204,2,-0.6,-0.48
204,3,-0.6,-1.02
204,4,-0.81,-0.48
204,5,-0.58,-0.33
204,6,-0.45,-0.43
204,7,-0.58,-0.48
205,1,0,0
205,2,0,0
205,3,-0.54,-0.3
205,4,-0.88,-0.31
205,5,-1.11,-0.54
205,6,-0.01,0.13
205,7,-0.89,-0.51
206,1,0,0
206,2,0,-0.41
206,3,-0.69,-0.69
206,4,-0.3,-0.69
206,5,-1.04,-0.74
206,6,-0.17,-0.65
206,7,-1.23,-0.87
207,1,0,0
207,2,-0.5,-0.41
207,3,-0.89,-0.7
207,4,-1.03,-0.71
207,5,-0.91,-0.63
207,6,-0.87,-0.72
207,7,-0.97,-0.67
208,1,-0.57,0
208,2,-0.58,0
208,3,-0.58,0
208,4,-0.59,-0.66
208,5,-0.7,-0.43
208,6,-0.66,-0.56
208,7,-0.63,-0.56
209,1,0,0
209,2,-0.54,-0.35
209,3,-0.93,-0.73
209,4,-0.06,-0.26
209,5,-0.19,-0.07
209,6,-0.46,-0.33
209,7,-0.33,-0.37
210,1,0,0
210,2,3.04,0
210,3,13.13,0
210,4,0.6,0
210,5,1.1,0
210,6,1.18,0
210,7,4.74,0
211,1,-0.41,0
211,2,-0.44,-0.25
211,3,-0.54,-0.28
211,4,-0.44,-0.37
211,5,-0.44,-0.44
211,6,-0.52,-0.53
211,7,-0.48,-0.36
212,1,-0.44,0
212,2,-0.45,0
212,3,-0.44,4.27
212,4,-0.42,4.15
212,5,-0.44,0.63
212,6,-0.44,0.96
212,7,-0.44,0.45
213,1,0,0
213,2,-0.5,-0.37
213,3,-1.38,-0.43
213,4,-1.4,-0.43
213,5,-2.29,-0.71
213,6,-1.52,-1.26
213,7,-2.71,-1.31
214,1,0,0
214,2,-0.45,-0.22
214,3,-1.44,-0.78
214,4,-0.54,-0.23
214,5,-0.75,-0.12
214,6,-0.91,-0.6
214,7,-0.54,-0.46
215,1,0,0
215,2,106.64,5.57
215,3,36.38,5.55
215,4,44.99,5.55
215,5,16.79,5.24
215,6,14.27,4.98
215,7,10.89,4.49
216,1,0,0
216,2,-0.44,-0.23
216,3,-0.3,-0.28
216,4,-0.25,-0.26
216,5,-0.27,-0.11
216,6,-0.56,-0.35
216,7,-0.41,-0.22
217,1,0,0
217,2,-0.57,-0.23
217,3,-0.61,-0.32
217,4,-0.47,-0.22
217,5,-0.58,-0.38
217,6,-0.47,-0.32
217,7,-0.45,-0.43
218,1,0,0
218,2,-0.55,-0.23
218,3,-0.42,-0.22
218,4,-0.5,-0.29
218,5,-0.67,-0.46
218,6,-0.92,-0.56
218,7,-0.85,-0.52
219,1,0,0
219,2,-0.88,-0.48
219,3,0.46,0.32
219,4,-0.7,-0.42
219,5,-0.72,-0.23
219,6,-0.77,-0.38
219,7,-0.81,-0.34
220,1,0,0
220,2,-0.78,-0.48
220,3,-1.3,-0.82
220,4,-0.7,-0.44
220,5,-0.89,-0.3
220,6,-1.4,-0.33
220,7,-1.15,-0.23
221,1,0,0
221,2,-0.73,-0.48
221,3,-0.58,-0.59
221,4,-0.8,-0.49
221,5,-0.78,-0.33
221,6,-0.91,-0.39
221,7,-1.16,-0.27
222,1,0,0
222,2,-0.6,-0.35
222,3,-0.24,-0.53
222,4,-0.04,-0.54
222,5,-0.56,-0.66
222,6,-0.46,-0.59
222,7,-0.39,-0.47
223,1,0,0
223,2,0.39,-0.47
223,3,-0.01,0.44
223,4,-0.08,0.22
223,5,0.82,-0.08
223,6,1.48,0.52
223,7,1.49,0.82
224,1,0,0
224,2,0.91,0.2
224,3,-0.04,-0.1
224,4,-0.78,-0.64
224,5,-1.2,-0.71
224,6,-0.42,-0.45
224,7,-0.2,-0.27
225,1,0,0
225,2,-0.5,-0.4
225,3,-0.26,-0.37
225,4,-0.17,-0.17
225,5,-0.49,-0.4
225,6,-0.9,-0.66
225,7,-0.1,-0.28
226,1,0,0
226,2,-0.47,-0.19
226,3,-0.59,-0.23
226,4,1.63,-0.2
226,5,8.93,-0.0
226,6,6.84,0.92
226,7,8.58,2.19
227,1,-0.57,0
227,2,-0.58,0
227,3,-0.49,-0.35
227,4,-0.58,-0.36
227,5,-0.59,-0.47
227,6,-0.57,-0.38
227,7,-0.56,0.12
228,1,0,0
228,2,-0.21,-0.18
228,3,1.92,-0.05
228,4,1.06,-0.17
228,5,0.27,-0.31
228,6,1.74,0.55
228,7,2.49,1.33
229,1,0,0
229,2,-0.38,-0.36
229,3,0.19,0.45
229,4,1.34,1.5
229,5,0.69,0.41
229,6,0.78,1.49
229,7,0.73,1.69
230,1,0,0
230,2,-0.59,0
230,3,-0.6,1.16
230,4,-0.69,0.7
230,5,-0.81,0.43
230,6,-0.83,0.84
230,7,-0.82,0.8
231,1,0,0
231,2,-0.4,-0.22
231,3,-0.12,-0.22
231,4,0.03,-0.28
231,5,4.29,-0.22
231,6,0.73,-0.27
231,7,-0.35,-0.41
232,1,0,0
232,2,0,-0.19
232,3,-0.45,-0.94
232,4,0.21,-0.89
232,5,0.26,-0.2
232,6,-1.14,-0.37
232,7,0.67,-0.37
233,1,0,0
233,2,0,0
233,3,-12.39,-0.47
233,4,-0.48,-0.41
233,5,-0.56,-0.33
233,6,0.6,-0.29
233,7,10.6,-0.55
234,1,0,0
234,2,1.23,0.22
234,3,0.29,0.3
234,4,0.65,0.26
234,5,3.34,0.15
234,6,1.16,-0.02
234,7,1.69,0.12
235,1,0,0
235,2,0,0
235,3,0,-0.58
235,4,0,0.44
235,5,0,0.71
235,6,0,0.26
235,7,0,0.32
236,1,0,0
236,2,-0.41,-0.23
236,3,-0.48,-0.26
236,4,-0.76,-0.37
236,5,-0.49,-0.31
236,6,-0.28,-0.18
236,7,-0.18,-0.09
237,1,0,0
237,2,-0.5,-0.22
237,3,-0.6,-0.24
237,4,-0.71,-0.3
237,5,-0.66,-0.51
237,6,-0.64,-0.64
237,7,-0.7,-0.63
238,1,0,0
238,2,0.92,0.16
238,3,-0.05,-0.08
238,4,0.33,0.74
238,5,-0.52,-0.44
238,6,-1.76,-0.42
238,7,-1.09,-0.29
239,1,0,0
239,2,0,0
239,3,-0.43,-0.46
239,4,2.82,-0.12
239,5,3.03,-0.15
239,6,2.42,-0.23
239,7,0.97,-0.33
240,1,0,0
240,2,-0.45,-0.23
240,3,-0.79,-0.31
240,4,-0.99,-0.35
240,5,-0.83,-0.25
240,6,-0.8,-0.16
240,7,-0.78,-0.19
241,1,0,0
241,2,-0.51,-0.4
241,3,-0.45,-0.61
241,4,-0.75,-0.5
241,5,-0.72,-0.6
241,6,-0.72,-0.65
241,7,-0.57,-0.53
242,1,0,0
242,2,0,-0.02
242,3,9.65,0.76
242,4,-0.21,-0.32
242,5,-0.05,-0.2
242,6,0.26,0.0
242,7,0.51,-0.03
243,1,0,0
243,2,0.94,2.25
243,3,5.26,1.82
243,4,2.69,2.34
243,5,1.64,1.52
243,6,0.93,1.31
243,7,2.58,2.37
244,1,0,0
244,2,340.03,0
244,3,70.86,0
244,4,39.68,0
244,5,27.62,0
244,6,24.61,0
244,7,34.26,0
245,1,0,0
245,2,-0.14,-0.09
245,3,0.31,-0.35
245,4,-0.94,-0.71
245,5,-1.09,-0.47
245,6,-1.44,-0.9
245,7,-5.88,-0.74
246,1,0,0
246,2,-0.67,-0.22
246,3,-0.67,-0.71
246,4,-0.29,-0.46
246,5,-0.28,-0.21
246,6,0.76,-0.13
246,7,-0.22,-0.33
247,1,0,0
247,2,-0.55,-0.35
247,3,1.35,0.15
247,4,-0.49,-0.29
247,5,-0.19,0.08
247,6,0.04,0.33
247,7,-0.04,0.07
248,1,0,0
248,2,0,-0.23
248,3,-0.52,-0.23
248,4,-0.71,-0.29
248,5,-0.8,-0.51
248,6,-0.74,-0.53
248,7,-0.57,-0.42
249,1,0,0
249,2,-0.44,-0.21
249,3,-0.46,-0.12
249,4,-0.28,0.08
249,5,-0.46,-0.22
249,6,-0.45,-0.32
249,7,-0.46,-0.32
250,1,0,0
250,2,-0.5,-0.34
250,3,10.11,2.37
250,4,-0.41,-0.54
250,5,0.22,-0.13
250,6,-1.18,-0.44
250,7,12.25,-0.16
251,1,0,0
251,2,0,-0.19
251,3,-0.76,-0.77
251,4,-0.71,-0.87
251,5,-0.54,-0.41
251,6,-0.52,-0.34
251,7,-0.43,-0.21
252,1,0,0
252,2,-0.45,-0.22
252,3,1.91,1.08
252,4,2.0,0.48
252,5,0.18,-0.01
252,6,1.24,0.96
252,7,-0.72,-0.18
253,1,0,0
253,2,-0.34,0.04
253,3,-0.41,-0.1
253,4,-0.45,-0.21
253,5,-0.48,-0.21
253,6,-0.42,-0.13
253,7,-0.38,-0.08
254,1,0,0
254,2,-0.55,-0.19
254,3,-0.82,-0.23
254,4,-0.76,-0.24
254,5,-0.87,-0.48
254,6,-1.2,-0.7
254,7,-1.24,-0.67
255,1,0,0
255,2,-0.54,-0.48
255,3,-0.45,-0.6
255,4,2.94,-0.14
255,5,2.3,0.01
255,6,0.87,-0.0
255,7,0.4,-0.08
256,1,0,0
256,2,-0.54,-0.36
256,3,-0.78,-0.51
256,4,-0.84,-0.54
256,5,-1.06,-0.37
256,6,-0.49,-0.41
256,7,-0.53,-0.25
257,1,0,0
257,2,-0.36,-0.17
257,3,-0.63,-0.52
257,4,0.14,0.89
257,5,-0.46,-0.19
257,6,0.61,-0.14
257,7,0.0,-0.26
258,1,0,0
258,2,-0.57,-0.25
258,3,-0.37,-0.27
258,4,-0.05,-0.26
258,5,-0.27,-0.34
258,6,-0.25,-0.36
258,7,-0.09,-0.38
259,1,-0.57,0
259,2,-0.58,0
259,3,-0.55,2.49
